#z n 
0 1 n
1 0 s
1 1 s
1 2 n
2 1 s
2 2 s
2 4 n
2 6 n
3 3 s
3 4 s
3 5 n
3 6 n
3 8 n
4 3 p
4 5 s
4 6 n
4 7 n
4 8 n
4 10 n
5 3 p
5 5 s
5 6 s
5 7 n
5 8 n
5 9 n
5 10 n
5 12 n
5 14 n
6 3 p
6 4 p
6 5 p
6 6 s
6 7 s
6 8 n
6 9 n
6 10 n
6 11 n
6 12 n
6 13 n
6 14 n
6 16 n
7 5 p
7 6 p
7 7 s
7 8 s
7 9 n
7 10 n
7 11 n
7 12 n
7 13 n
7 14 n
7 15 n
7 16 n
8 5 p
8 6 p
8 7 p
8 8 s
8 9 s
8 10 s
8 11 n
8 12 n
8 13 n
8 14 n
8 15 n
8 16 n
9 8 p
9 9 p
9 10 s
9 11 n
9 12 n
9 13 n
9 14 n
9 15 n
9 16 n
9 17 n
9 18 n
9 20 n
9 22 n
10 7 p
10 8 p
10 9 p
10 10 s
10 11 s
10 12 s
10 13 n
10 14 n
10 15 n
10 16 n
10 17 n
10 18 n
10 19 n
10 20 n
10 21 n
10 22 n
10 24 n
11 9 p
11 10 p
11 11 p
11 12 s
11 13 n
11 14 n
11 15 n
11 16 n
11 17 n
11 18 n
11 19 n
11 20 n
11 21 n
11 22 n
11 23 n
11 24 n
11 26 n
12 8 p
12 9 p
12 10 p
12 11 p
12 12 s
12 13 s
12 14 s
12 15 n
12 16 n
12 17 n
12 18 n
12 19 n
12 20 n
12 21 n
12 22 n
12 23 n
12 24 n
12 25 n
12 26 n
12 27 n
12 28 n
13 9 p
13 10 p
13 11 p
13 12 p
13 13 p
13 14 s
13 15 n
13 16 n
13 17 n
13 18 n
13 19 n
13 20 n
13 21 n
13 22 n
13 23 n
13 24 n
13 25 n
13 26 n
13 27 n
13 28 n
13 29 n
13 30 n
14 8 p
14 9 p
14 10 p
14 11 p
14 12 p
14 13 p
14 14 s
14 15 s
14 16 s
14 17 n
14 18 n
14 19 n
14 20 n
14 21 n
14 22 n
14 23 n
14 24 n
14 25 n
14 26 n
14 27 n
14 28 n
14 29 n
14 30 n
15 11 p
15 12 p
15 13 p
15 14 p
15 15 p
15 16 s
15 17 n
15 18 n
15 19 n
15 20 n
15 21 n
15 22 n
15 23 n
15 24 n
15 25 n
15 26 n
15 27 n
15 28 n
15 29 n
15 30 n
15 31 n
16 11 p
16 12 p
16 13 p
16 14 p
16 15 p
16 16 s
16 17 s
16 18 s
16 19 n
16 20 s
16 21 n
16 22 n
16 23 n
16 24 n
16 25 n
16 26 n
16 27 n
16 28 n
16 29 n
16 30 n
16 32 n
17 14 p
17 15 p
17 16 p
17 17 p
17 18 p
17 19 s
17 20 n
17 21 s
17 22 n
17 23 n
17 24 n
17 25 n
17 26 n
17 27 n
17 28 n
17 29 n
17 30 n
17 31 n
17 32 n
17 33 n
17 34 n
18 13 p
18 14 p
18 15 p
18 16 p
18 17 p
18 18 s
18 19 p
18 20 s
18 21 n
18 22 s
18 23 n
18 24 n
18 25 n
18 26 n
18 27 n
18 28 n
18 29 n
18 30 n
18 31 n
18 32 n
18 33 n
18 34 n
18 35 n
19 16 p
19 17 p
19 18 p
19 19 p
19 20 s
19 21 s
19 22 s
19 23 n
19 24 n
19 25 n
19 26 n
19 27 n
19 28 n
19 29 n
19 30 n
19 31 n
19 32 n
19 33 n
19 34 n
19 35 n
19 36 n
19 37 n
20 15 p
20 16 p
20 17 p
20 18 p
20 19 p
20 20 s
20 21 p
20 22 s
20 23 s
20 24 s
20 25 n
20 26 s
20 27 n
20 28 s
20 29 n
20 30 n
20 21 n
20 22 n
20 23 n
20 24 n
20 25 n
20 26 n
20 27 n
20 28 n
20 29 n
20 30 n
20 31 n
20 32 n
20 33 n
20 34 n
20 35 n
20 36 n
20 37 n
20 38 n
21 19 p
21 20 p
21 21 p
21 22 p
21 23 p
21 24 s
21 25 n
21 26 n
21 27 n
21 28 n
21 29 n
21 30 n
21 31 n
21 32 n
21 33 n
21 34 n
21 35 n
21 36 n
21 37 n
21 38 n
21 39 n
21 40 n
22 17 p
22 18 p
22 19 p
22 20 p
22 21 p
22 22 p
22 23 p
22 24 s
22 25 s
22 26 s
22 27 s
22 28 s
22 29 n
22 30 n
22 31 n
22 32 n
22 33 n
22 34 n
22 35 n
22 36 n
22 37 n
22 38 n
22 39 n
22 40 n
22 41 n
23 20 p
23 21 p
23 22 p
23 23 p
23 24 p
23 25 p
23 26 p
23 27 s
23 28 s
23 29 n
23 30 n
23 31 n
23 32 n
23 33 n
23 34 n
23 35 n
23 36 n
23 37 n
23 38 n
23 39 n
23 40 n
23 41 n
23 42 n
23 43 n
24 18 p
24 19 p
24 20 p
24 21 p
24 22 p
24 23 p
24 24 p
24 25 p
24 26 s
24 27 p
24 28 s
24 29 s
24 30 s
24 31 n
24 32 n
24 33 n
24 34 n
24 35 n
24 36 n
24 37 n
24 38 n
24 39 n
24 40 n
24 41 n
24 42 n
24 44 n
25 21 p
25 22 p
25 23 p
25 24 p
25 25 p
25 26 p
25 27 p
25 28 p
25 29 p
25 30 s
25 31 n
25 32 n
25 33 n
25 34 n
25 35 n
25 36 n
25 37 n
25 38 n
25 39 n
25 40 n
25 41 n
25 42 n
25 43 n
25 44 n
25 45 n
25 46 n
26 19 p
26 20 p
26 21 p
26 22 p
26 23 p
26 24 p
26 25 p
26 26 p
26 27 p
26 28 s
26 29 p
26 30 s
26 31 s
26 32 s
26 33 n
26 34 n
26 35 n
26 36 n
26 37 n
26 38 n
26 39 n
26 40 n
26 41 n
26 42 n
26 43 n
26 44 n
26 45 n
26 46 n
26 47 n
26 48 n
27 23 p
27 24 p
27 25 p
27 26 p
27 27 p
27 28 p
27 29 p
27 30 p
27 31 p
27 32 s
27 33 n
27 34 n
27 35 n
27 36 n
27 37 n
27 38 n
27 39 n
27 40 n
27 41 n
27 42 n
27 43 n
27 44 n
27 45 n
27 46 n
27 47 n
27 48 n
27 49 n
28 20 p
28 21 p
28 22 p
28 23 p
28 24 p
28 25 p
28 26 p
28 27 p
28 28 p
28 29 p
28 30 s
28 31 p
28 32 s
28 33 s
28 34 s
28 35 n
28 36 s
28 37 n
28 38 n
28 39 n
28 40 n
28 41 n
28 42 n
28 43 n
28 44 n
28 45 n
28 46 n
28 47 n
28 48 n
28 49 n
28 50 n
28 51 n
29 26 p
29 27 p
29 28 p
29 29 p
29 30 p
29 31 p
29 32 p
29 33 p
29 34 s
29 35 p
29 36 s
29 37 n
29 38 n
29 39 n
29 40 n
29 41 n
29 42 n
29 43 n
29 44 n
29 45 n
29 46 n
29 47 n
29 48 n
29 49 n
29 50 n
29 51 n
29 52 n
29 53 n
30 24 p
30 25 p
30 26 p
30 27 p
30 28 p
30 29 p
30 30 p
30 31 p
30 32 p
30 33 p
30 34 s
30 35 p
30 36 s
30 37 s
30 38 s
30 39 n
30 40 s
30 41 n
30 42 n
30 43 n
30 44 n
30 45 n
30 46 n
30 47 n
30 48 n
30 49 n
30 50 n
30 51 n
30 52 n
30 53 n
30 54 n
30 55 n
31 29 p
31 30 p
31 31 p
31 32 p
31 33 p
31 34 p
31 35 p
31 36 p
31 37 p
31 38 s
31 39 n
31 40 s
31 41 n
31 42 n
31 43 n
31 44 n
31 45 n
31 46 n
31 47 n
31 48 n
31 49 n
31 50 n
31 51 n
31 52 n
31 53 n
31 54 n
31 55 n
31 56 n
32 29 p
32 30 p
32 31 p
32 32 p
32 33 p
32 34 p
32 35 p
32 36 p
32 37 p
32 38 s
32 39 p
32 40 s
32 41 s
32 42 s
32 43 n
32 44 s
32 45 n
32 46 n
32 47 n
32 48 n
32 49 n
32 50 n
32 51 n
32 52 n
32 53 n
32 54 n
32 55 n
32 56 n
32 57 n
32 58 n
33 31 p
